"","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"1","ASN00012008","BOOYLGOO SPRING, AS",-27.7556,119.9078,610,"1922-07",NA,"",NA,"",0.09,",,a,30,+",NA,"",NA,"",0.28,",,,a",NA,"",NA,"",NA,""
"2","ASN00012008","BOOYLGOO SPRING, AS",-27.7556,119.9078,610,"1922-08",NA,"",NA,"",0.69,",,a,25,",NA,"",NA,"",0.69,",,,a",NA,"",NA,"",NA,""
"3","ASN00012008","BOOYLGOO SPRING, AS",-27.7556,119.9078,610,"1922-10",NA,"",NA,"",0,",,a,31,+",NA,"",NA,"",0,",,,a",NA,"",NA,"",NA,""
"4","ASN00012008","BOOYLGOO SPRING, AS",-27.7556,119.9078,610,"1922-11",NA,"",NA,"",0.01,",,a,27,",NA,"",NA,"",0.01,",,,a",NA,"",NA,"",NA,""
"5","ASN00012008","BOOYLGOO SPRING, AS",-27.7556,119.9078,610,"1922-12",NA,"",NA,"",0.17,",,a,22,",NA,"",NA,"",0.46,",,,a",NA,"",NA,"",NA,""
"6","ASN00012008","BOOYLGOO SPRING, AS",-27.7556,119.9078,610,"1923-01",NA,"",NA,"",0.2,",,a,16,+",NA,"",NA,"",0.63,",,,a",NA,"",NA,"",NA,""
"7","ASN00012008","BOOYLGOO SPRING, AS",-27.7556,119.9078,610,"1923-02",NA,"",NA,"",0.02,",,a,09,",NA,"",NA,"",0.06,",,,a",NA,"",NA,"",NA,""
"8","ASN00012008","BOOYLGOO SPRING, AS",-27.7556,119.9078,610,"1923-03",NA,"",NA,"",0.27,",,a,23,",NA,"",NA,"",0.44,",,,a",NA,"",NA,"",NA,""
"9","ASN00012008","BOOYLGOO SPRING, AS",-27.7556,119.9078,610,"1923-04",NA,"",NA,"",0.61,",,a,10,",NA,"",NA,"",1.61,",,,a",NA,"",NA,"",NA,""
"10","ASN00012008","BOOYLGOO SPRING, AS",-27.7556,119.9078,610,"1923-05",NA,"",NA,"",0.04,",,a,25,",NA,"",NA,"",0.06,",,,a",NA,"",NA,"",NA,""
