"","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"1","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1941-11",NA,"",NA,"",NA,"",51,",a,13,",NA,"",NA,"",0.94,",,a,12,",103,",a,28,",NA,"",2.91,",,,a",NA,"",76.3,",a",88.7,",,,a",63.9,",,,a"
"2","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1941-12",NA,"",NA,"",NA,"",49,",a,05,",NA,"",NA,"",0.75,",,a,30,",109,",a,20,",NA,"",1.4,",,,a",NA,"",82.4,",a",96.5,",,,a",68.3,",,,a"
"3","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1942-01",NA,"",NA,"",NA,"",59,",a,01,",NA,"",NA,"",1.34,",,a,09,",105,",a,31,+",0,"a",2.5,",,,a",NA,"",82.2,",a",93.8,",,,a",70.5,",,,a"
"4","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1942-02",NA,"",NA,"",NA,"",56,",a,23,",NA,"",NA,"",0.31,",,a,16,",108,",a,01,",0,"a",0.41,",,,a",NA,"",82,",a",95.8,",,,a",68.2,",,,a"
"5","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1942-03",NA,"",NA,"",NA,"",56,",a,20,+",NA,"",NA,"",0.28,",,a,26,",104,",a,04,+",0,"a",0.28,",,,a",NA,"",80.9,",a",95.9,",,,a",65.8,",,,a"
"6","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1942-04",NA,"",NA,"",NA,"",41,",a,16,",NA,"",NA,"",0.47,",,a,26,",92,",a,30,",37,"a",0.47,",,,a",NA,"",68.4,",a",83.7,",,,a",53.1,",,,a"
"7","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1942-05",NA,"",NA,"",NA,"",38,",a,16,",NA,"",NA,"",1.12,",,a,23,",95,",a,04,+",134,"a",1.64,",,,a",NA,"",65.8,",a",78.1,",,,a",53.5,",,,a"
"8","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1942-06",NA,"",NA,"",NA,"",33,",a,21,",NA,"",NA,"",0.25,",,a,03,",83,",a,30,",357,"a",0.72,",,,a",NA,"",57.9,",a",69.9,",,,a",46,",,,a"
"9","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1942-07",8,"a",NA,"",NA,"",27,",a,31,",NA,"",NA,"",0,",,a,31,+",83,",a,01,",767,"a",0,",,,a",NA,"",52,",a",66.8,",,,a",37.2,",,,a"
"10","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1942-08",75,"a",NA,"",NA,"",34,",a,25,",NA,"",NA,"",0.05,",,a,08,",92,",a,19,",894,"a",0.08,",,,a",NA,"",63,",a",78.8,",,,a",47.3,",,,a"
"11","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1942-09",235,"a",NA,"",NA,"",37,",a,07,",NA,"",NA,"",0.04,",,a,06,",97,",a,20,",936,"a",0.04,",,,a",NA,"",69,",a",84.8,",,,a",53.1,",,,a"
"12","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1942-10",519,"a",NA,"",NA,"",45,",a,06,",NA,"",NA,"",0.41,",,a,28,",103,",a,03,",945,"a",1,",,,a",NA,"",73.8,",a",88.6,",,,a",59,",,,a"
"13","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1942-11",848,"a",NA,"",NA,"",52,",a,01,",NA,"",NA,"",0.37,",,a,05,",105,",a,19,",945,"a",0.58,",,,a",NA,"",76,",a",90.7,",,,a",61.2,",,,a"
"14","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1942-12",1368,"a",NA,"",NA,"",58,"1,a,08,",NA,"",NA,"",0.65,",,a,07,",105,",a,18,",946,"a",0.81,",,,a",NA,"",82,"1,a",94.6,",,,a",69.4,"1,,,a"
"15","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1943-01",1962,"a",NA,"",NA,"",60,",a,16,",NA,"",NA,"",0.43,",,a,14,",110,",a,08,",0,"a",0.93,",,,a",NA,"",84.2,",a",98.4,",,,a",69.9,",,,a"
"16","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1943-02",2460,"a",NA,"",NA,"",56,",a,24,",NA,"",NA,"",0.97,",,a,18,",106,",a,06,+",0,"a",1.13,",,,a",NA,"",82.8,",a",95.3,",,,a",70.2,",,,a"
"17","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1943-03",2982,"a",NA,"",NA,"",59,",a,21,",NA,"",NA,"",0.14,",,a,04,",105,",a,26,",0,"a",0.26,",,,a",NA,"",81.8,",a",95.7,",,,a",68,",,,a"
"18","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1943-04",3211,"a",NA,"",NA,"",44,",a,26,",NA,"",NA,"",0.5,",,a,23,",99,",a,11,",37,"a",1.19,",,,a",NA,"",71.4,",a",83.3,",,,a",59.5,",,,a"
"19","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1943-05",3222,"a",NA,"",NA,"",32,",a,20,",NA,"",NA,"",0.58,",,a,31,",87,",a,02,",325,"a",0.59,",,,a",NA,"",56,",a",69.1,",,,a",43,",,,a"
"20","ASN00015590","ALICE SPRINGS AIRPORT, AS",-23.7951,133.889,546,"1943-06",3222,"a",NA,"",NA,"",31,",a,25,",NA,"",NA,"",0.09,",,a,01,",77,",a,26,",735,"a",0.09,",,,a",NA,"",51.3,",a",65.2,",,,a",37.4,",,,a"
